Facility Id,FRS Id,Reported City,Reported State,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2019 Total reported emissions from Onshore Oil & Gas Production ,2018 Total reported emissions from Onshore Oil & Gas Production ,2017 Total reported emissions from Onshore Oil & Gas Production ,2016 Total reported emissions from Onshore Oil & Gas Production ,2015 Total reported emissions from Onshore Oil & Gas Production ,2014 Total reported emissions from Onshore Oil & Gas Production ,2013 Total reported emissions from Onshore Oil & Gas Production ,2012 Total reported emissions from Onshore Oil & Gas Production ,2011 Total reported emissions from Onshore Oil & Gas Production 
1010237,110055513323,Pittsburgh,PA,ALLEGHENY COUNTY,40.4591,-80.19626,211130,W-ONSH,0.00,"32,417.21","24,526.89","40,093.18","96,654.09","65,800.80","106,111.68","94,161.49",
1013091,,Houston,TX,,29.752554,-95.3704009,211120,W-ONSH,"57,536.70","46,299.59","59,512.74",,,,,,
1007807,110067216060,Badami Unit,AK,NORTH SLOPE BOROUGH,70.150997,-147.097369,211120,W-ONSH,"27,620.79","192,734.14","175,010.39","174,786.69","42,526.45","82,287.25","77,518.85","78,444.85",
1011534,110063697236,San Antonio,TX,BEXAR COUNTY,29.61182,-98.49029,211120,W-ONSH,"93,761.20","121,891.90","86,162.30","77,425.89","189,679.98","148,445.43",,,
1011749,110064007060,Austin,TX,TRAVIS COUNTY,30.370671,-97.746296,211111,W-ONSH,,,,,"83,981.25","98,493.66",,,
1012585,110070082381,Midland,TX,,32.87999953,-104.1657515,211111,W-ONSH,,,,"304,879.55",,,,,
1009732,110037899021,Denver,CO,HARRIS COUNTY,29.75788,-95.37013,211130,W-ONSH,"68,772.61","52,583.16","39,077.48","35,693.13","31,492.28","38,463.69","62,996.47","63,123.49","60,325.70"
1008548,110055513635,Wichita Falls,TX,WICHITA COUNTY,33.91154,-98.49282,211120,W-ONSH,"23,148.24","23,375.19","25,422.39","16,688.80","41,724.65","46,182.64","12,719.94","16,193.04","19,292.04"
1009245,110021175887,Fort Worth,TX,TARRANT COUNTY,32.7561,-97.33226,211120,W-ONSH,,"1,416.75","1,453.40","4,975.20","65,925.88","66,022.66","42,668.63","60,078.22","50,254.17"
1009030,110021175887,Fort Worth,TX,TARRANT COUNTY,32.7561,-97.33226,211111,W-ONSH,,,,"20,893.35","233,320.39","615,399.16","1,503,576.64","2,004,438.10","408,253.55"
1008172,110010681707,Prudhoe Bay,AK,NORTH SLOPE BOROUGH,70.300735,-148.37037,211120,W-ONSH,"51,206.56","48,699.91","46,531.25","42,066.28","81,415.87","113,724.55","115,165.99","100,091.20","137,955.39"
1013380,110038068113,Houston,TX,HARRIS COUNTY,29.78037,-95.6295,211130,W-ONSH,"9,639.84","103,024.61",,,,,,,
1013289,,Billings,MT,,43.59429527,-105.6734332,211120,W-ONSH,"99,478.86","49,170.08",,,,,,,
1008492,110004766129,Houston,TX,TULSA COUNTY,29.7530996,-95.4621203,211130,W-ONSH,"53,577.50","95,129.79","98,420.43","68,268.64","97,391.88","233,562.65","272,526.84","324,165.17","282,086.48"
1008632,,Houston,TX,,36.0613546,-95.9515399,211130,W-ONSH,"932,235.92","611,040.27","470,279.79","611,149.91","803,741.98","195,346.20","227,180.76","128,658.45","85,080.56"
1008630,110004766129,Houston,TX,TULSA COUNTY,29.7530996,-95.4621203,211130,W-ONSH,"350,889.98","282,923.26","358,728.61","464,939.36","770,238.90","854,269.30","962,769.33","488,479.13","206,809.83"
1010319,110055519577,GREEN RIVER,WY,SWEETWATER COUNTY,41.50926,-109.47323,211120,W-ONSH,"17,551.94","18,233.40","19,106.65","26,697.49","28,016.89","36,614.19","39,395.79","38,115.64","45,702.14"
